engine,rank,url
google,1,https://rocketscience.lt/
google,2,https://www.nasa.gov/audience/foreducators/diypodcast/rocket-science-index-diy.html
google,3,https://en.wikipedia.org/wiki/Rocket_science
google,4,https://rekvizitai.vz.lt/imone/rocket_science_baltics/
google,5,https://www.ulalaunch.com/explore/rocket-science
google,6,https://en.wiktionary.org/wiki/rocket_science
google,7,https://blogs.esa.int/rocketscience/
google,8,https://www.merriam-webster.com/dictionary/rocket%20science
google,9,https://www.youtube.com/watch?v=SpWCOVNWUyo
google,10,https://www.fourmilab.ch/documents/rocket_science/
duckduckgo,1,https://byjus.com/physics/rocket-science/
duckduckgo,2,https://www.imdb.com/title/tt0477078/
duckduckgo,2,https://en.wikipedia.org/wiki/Rocket_science
duckduckgo,4,https://www.sciencefocus.com/space/what-is-rocket-science/
duckduckgo,5,https://dictionary.cambridge.org/dictionary/english/rocket-science
duckduckgo,6,https://dictionary.cambridge.org/us/dictionary/english/rocket-science
duckduckgo,7,https://www.nasa.gov/audience/foreducators/diypodcast/rocket-science-index-diy.html
duckduckgo,8,https://en.wikipedia.org/wiki/Rocket_Science_(film)
duckduckgo,9,https://www.wisegeek.com/what-is-rocket-science.htm
duckduckgo,10,https://www.rocket-science.com/
bing,1,https://en.wikipedia.org/wiki/Rocket_science
bing,2,https://rocketscience.lt/
bing,3,https://byjus.com/physics/rocket-science/
bing,4,http://rocketsciencelab.co.uk/
bing,5,https://www.imdb.com/title/tt0477078/
bing,6,https://en.wikipedia.org/wiki/Rocket_Science_(film)
bing,7,https://www.youtube.com/channel/UCfKidiMlHTBRNkQZlLzUesw
bing,8,https://dictionary.cambridge.org/dictionary/english/rocket-science
bing,9,https://www.rocketscience.co.za/
bing,10,https://www.rsvfx.com/
yahoo,1,https://www.imdb.com/title/tt0477078/
yahoo,2,https://byjus.com/physics/rocket-science/
yahoo,3,https://www.sciencefocus.com/space/what-is-rocket-science/
yahoo,4,https://dictionary.cambridge.org/us/dictionary/english/rocket-science
yahoo,5,https://www.youtube.com/channel/UCfKidiMlHTBRNkQZlLzUesw
yahoo,6,https://www.wisegeek.com/what-is-rocket-science.htm
yahoo,7,https://en.wikipedia.org/wiki/Rocket_Science_(film)
yahoo,8,https://www.nasa.gov/audience/foreducators/diypodcast/rocket-science-index-diy.html
yahoo,9,https://en.wikipedia.org/wiki/Rocket_science
yahoo,10,https://www.rocket-science.com/
startpage,1,https://www.eurosciencejobs.com/newsletter?gclid=EAIaIQobChMI3IOIwYCA7AIVgeLmCh145AgdEAAYASAAEgIj0_D_BwE
startpage,2,https://marketredesign.com/?gclid=EAIaIQobChMI3IOIwYCA7AIVgeLmCh145AgdEAAYAiAAEgIILvD_BwE
startpage,3,https://en.wikipedia.org/wiki/Rocket_science
startpage,4,https://www.nasa.gov/audience/foreducators/diypodcast/rocket-science-index-diy.html
startpage,5,https://www.youtube.com/watch?v=SpWCOVNWUyo
startpage,6,https://www.ulalaunch.com/explore/rocket-science
startpage,7,https://en.wiktionary.org/wiki/rocket_science
startpage,8,https://blogs.esa.int/rocketscience/
startpage,9,https://www.merriam-webster.com/dictionary/rocket%20science
startpage,10,https://rekvizitai.vz.lt/en/company/rocket_science_baltics/
